SMILES,score
OCC(c1nnnn1CCc1cc(Br)cc(NCC2(C(O)c3ccccc3O)CC2)c1)N1CCc2cccc(Cl)c2C1,10.35
COC(=O)C(C)N(CC1CCC(N)C1)c1ccc(NC(=O)OC(C)(C)C)c(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,6.3
CC(c1cc(Br)cnc1N1CCCC(CN)C1c1ccsc1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.74
CCOc1cncc(N2CCCC(Nc3ccc(I)c(-n4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c3)C2)n1,10.34
OCC(c1nnnn1-c1ccncc1NCCCCN1CCCOc2ccccc21)N1CCc2cccc(Cl)c2C1,15.27
Cc1ccc(C)c(CN2CCC(CNc3ccc(C(F)(F)F)cc3-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)CC2)c1,11.19
CC(C)C(N)C(=O)NC1CCC(Nc2ccc(Br)c(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)CC1,11.99
C[C@H](c1cccc(NC(CN2CCC[C@@H](O)C2)=NO)c1F)n1nnnc1[C@@H](CO)N1CCc2cccc(Cl)c2C1,13.31
COc1nc(NC(c2cncs2)C(C)(C)CO)ccc1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.35
CCC(CCNc1cccc(CNC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1)CNC(=O)c1cncc(C)c1,10.13
Cc1ccc(F)cc1C1(Nc2ccc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc2)CCC(O)CC1,10.69
CC1C(Nc2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(Br)cn2)CCCN1C(=O)C1CC1,6.84
CC(c1ccc(NC(=O)OC(C)(C)C)c(NCC(F)CCn2cncn2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.51
OCC(c1nnnn1-c1c(Cl)ncnc1NC1CCC(N2CC(O)C(O)C2)C1)N1CCc2cccc(Cl)c2C1,10.09
CC(c1c(F)cccc1NC(C)(CCO)CCF)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,14.98
CN1CCC[C@@H](N(C(=O)C=CCN)c2ccc(Cn3nnnc3[C@@H](CO)N3CCc4cccc(Cl)c4C3)cc2)C1,7.11
OCc1ccc(CNCCCNc2cccc(Cl)c2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)o1,8.72
CCC(CNc1cc(Cl)c(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Cl)c1)C(O)CC1CC1,10.26
Cc1cc(N2CCCC(O)C2)ccc1CNc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1C(F)(F)F,10.26
CC1CC(CCO)(C(C)Nc2ccc(Br)c(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2F)CS1,7.61
CC(C)C1CN(c2ccc(C(F)(F)F)cc2C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)CC1CN,9.14
COc1c(Br)cc(NC2(C)CCC(C)(N)C2(C)C)cc1C(C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.53
COc1cc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)ccc1N(CC(C)CN)c1ncccc1OC,3.41
CCC(=O)N(C)CCCNc1cccc(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1F,8.63
COc1nc(NC2(C(F)F)CC3CCC(C2)N3C)ccc1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.69
Cc1cnc(NC2CC(O)C2)c(Nc2c(F)ccc(F)c2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,12.61
OCC(c1nnnn1Cc1cc(NC2CC2Nc2ccc(Cl)cn2)cc(C(F)(F)F)c1)N1CCc2cccc(Cl)c2C1,9.55
OCC(c1nnnn1Cc1cc(NCCCCN2CC3C4C=CC(CC4)C3C2)ccc1F)N1CCc2cccc(Cl)c2C1,9.24
CNCCC(C)Nc1cnccc1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.51
Cc1cc(C)c(NC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NC(C)(CO)CN2CCCC2(C)C)c1,7.87
CC(c1cc(Br)ccc1NC1CC(N2CCC2(C)C)C1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.86
CN1CC(CNc2ccc(Nc3ccc(CCn4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c(Br)c3)cn2)C1,9.44
Cc1coc(C(O)C(C)CNc2ncc(C(F)(F)F)cc2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,12.95
CCn1cc(C2CC(CNc3cc(Br)c(OC)c(C(C)n4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c3)CCN2)cn1,11.07
O=C(NCC1CCC(Nc2ccc(C(F)(F)F)cc2CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1)C1CC1,9.26
CC(Nc1ncnc(Cl)c1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)C1CCN(Cc2ccccc2F)CC1,9.55
Cc1ccc(C(=O)NCC(C)CCNc2ccc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(Br)c2)cn1,8.09
OCC(c1nnnn1CCc1ccc(F)c(NC2CCC(O)(c3ccns3)CC2)c1)N1CCc2cccc(Cl)c2C1,9.11
O=C(C1CCC1)N1CCCC(CO)(Nc2ccc3sc(CCn4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)cc3n2)C1,9.85
COCCCN1CCCC1CCCNc1nc(C)ccc1-n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.68
CCC1C(CNc2cc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)ccc2C(=O)OC)CCN1c1ncns1,10.96
Cc1cc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc(NCC2(O)CCN(CCOCCO)CC2)n1,9.78
OCC(c1nnnn1CCc1cc2cc(NCC3CCCCCC3O)ccc2[nH]1)N1CCc2cccc(Cl)c2C1,8.28
CNc1cc(N(CCCO)c2ncc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)s2)nc(N)n1,8.96
O=C(O)C(CCNc1cc(C(F)(F)F)cc(Cl)c1-n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)NC1CC1,10.64
CC(c1cc(Cl)cc(N(CCCCN)C(=O)c2coc3ccccc23)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,9.1
CCCC(Nc1nnc(Cl)cc1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)C1(O)CCCN(C)C1,11.02
CC1OCCC1C(O)CCNc1cc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)ccc1Cl,10.0
CC(c1ccc(NCC(CN)c2cnn(C)c2)cc1C(F)(F)F)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,12.6
COc1ccccc1N(C)CC1(CCNc2ccsc2C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)CC1,10.18
COc1c(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cccc1NCC1(CCO)CC(C)(C)Oc2ccccc21,10.3
CCn1nc(C)cc1CC(CO)CNc1cncc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,12.16
CC(N)C(=O)N1CCC(CNc2ccc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(Br)c2)C1,11.73
